Metric,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024
Sales,176,165,156,159,167,186,205,221,233,247,261,265,270
  └─ YOY Sales Growth %,-25.23%,1.83%,-6.89%,-6.28%,-5.13%,12.21%,31.59%,39.32%,39.52%,33.07%,26.97%,19.73%,16.23%
Expenses,141,183,140,154,173,177,188,194,199,210,212,205,200
  └─ Employee Cost %,67%,68%,76%,82%,86%,80%,79%,76%,74%,74%,71%,67%,64%
Operating Profit,35,-17,16,5,-6,8,17,27,33,37,49,60,71
OPM %,20%,-10%,10%,3%,-4%,5%,8%,12%,14%,15%,19%,23%,26%
Other Income,16,23,36,29,35,-60,56,71,74,81,58,75,91
  └─ Exceptional items,0,16,27,22,27,-66,51,65,68,75,52,69,85
  └─ Other income normal,16,7,9,6,8,6,6,6,6,6,6,6,6
Interest,2,1,2,2,2,1,2,2,3,2,2,2,3
Depreciation,9,9,7,7,7,7,8,8,9,10,12,12,12
Profit before tax,39,-4,43,24,20,-60,64,88,96,106,92,121,147
Tax %,14%,-20%,23%,20%,-8%,-19%,19%,14%,13%,21%,22%,24%,22%
Net Profit,34,-4,33,19,22,-48,52,75,84,83,72,92,116
  └─ Exceptional items AT,0,16,20,17,26,-66,37,56,59,59,40,52,67
  └─ Profit excl Excep,34,-19,12,2,-4,18,15,19,24,24,31,40,49
  └─ Profit for PE,34,-19,12,2,-4,18,15,19,24,24,31,40,49
  └─ Profit for EPS,34,-4,33,19,22,-48,52,75,84,83,72,92,116
  └─ YOY Profit Growth %,-56%,-123%,-74%,-96%,-113%,192%,22%,777%,654%,37%,108%,105%,100%
EPS in Rs,5.43,-0.57,3.94,2.32,2.64,-5.74,6.19,8.93,9.91,9.81,8.44,10.82,13.61
Raw PDF,,,,,,,,,,,,,
