Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,446,508,578,504,505,622,680,612,653,913
  └─ YOY Sales Growth %,,,,,13.21%,22.46%,17.59%,21.52%,29.34%,46.66%
Expenses,51,71,65,85,82,62,77,83,118,138
  └─ Employee Cost %,2.01%,2.39%,2.55%,3.15%,3.75%,2.36%,1.82%,3.35%,2.40%,3.20%
Operating Profit,395,437,513,419,424,560,604,530,535,774
OPM %,89%,86%,89%,83%,84%,90%,89%,86%,82%,85%
Other Income,17,45,29,21,76,129,89,60,31,48
  └─ Other income normal,17.32,44.92,28.98,21.47,76.38,129.38,89.44,60.31,30.93,47.82
Interest,174,181,183,195,206,177,193,207,230,257
Depreciation,159,173,175,182,195,206,223,261,300,318
Profit before tax,80,127,183,63,99,307,277,122,37,247
Tax %,31%,36%,24%,42%,34%,24%,20%,29%,53%,20%
Net Profit,56,81,139,37,66,233,220,86,17,197
  └─ Minority share,0,0,0,1,0,0,0,1,0,-0
  └─ Profit excl Excep,56,81,139,37,66,233,220,86,17,197
  └─ Profit for PE,56,81,139,38,66,233,220,88,17,197
  └─ Profit for EPS,56,81,139,38,66,233,220,88,17,197
  └─ YOY Profit Growth %,,,,,18%,188%,59%,130%,-73%,-16%
EPS in Rs,0.12,0.14,0.24,0.05,0.08,0.28,0.26,0.10,0.02,0.23
Raw PDF,,,,,,,,,,
