Metric,Dec 2019,Mar 2020,Dec 2020,Mar 2021
Sales,200,154,295,235
  └─ YOY Sales Growth %,,,47%,53%
Expenses,184,155,252,210
  └─ Material Cost %,65%,69%,64%,65%
  └─ Employee Cost %,11%,14%,8%,11%
Operating Profit,16,-1,43,25
OPM %,8%,-1%,15%,11%
Other Income,1,0,0,1
  └─ Other income normal,0.96,0.17,0.08,0.80
Interest,5,6,6,3
Depreciation,3,3,4,4
Profit before tax,9,-10,33,19
Tax %,-0%,-0%,-0%,-0%
Net Profit,9,-10,33,19
  └─ Profit excl Excep,9,-10,33,19
  └─ Profit for PE,9,-10,33,19
  └─ Profit for EPS,9,-10,33,19
  └─ YOY Profit Growth %,,,271%,287%
EPS in Rs,3.65,-4.15,13.54,5.89
Raw PDF,,,,
