Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0.63,1.02,0.94,0.97,1.02,1.02,1.13,1.77,1.76,1.44
  └─ YOY Sales Growth %,,,,,61.90%,0.00%,20.21%,82.47%,72.55%,41.18%
Expenses,0.76,1.13,1.05,1.02,1.06,2.68,1.40,2.08,1.82,1.47
  └─ Material Cost %,46%,53%,60%,51%,54%,43%,65%,75%,73%,72%
  └─ Employee Cost %,54%,45%,37%,37%,33%,79%,43%,29%,24%,18%
Operating Profit,-0.13,-0.11,-0.11,-0.05,-0.04,-1.66,-0.27,-0.31,-0.06,-0.03
OPM %,-20.63%,-10.78%,-11.70%,-5.15%,-3.92%,-162.75%,-23.89%,-17.51%,-3.41%,-2.08%
Other Income,0.13,0.19,0.02,0.01,0.01,0.40,0.10,0.11,1.20,0.19
  └─ Other income normal,0.13,0.19,0.02,0.01,0.01,0.40,0.10,0.11,1.20,0.19
Interest,0.06,0.07,0.11,0.01,0.02,0.01,0.01,0.01,0.03,0.06
Depreciation,0.10,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.08,0.02
Profit before tax,-0.16,-0.10,-0.31,-0.17,-0.17,-1.39,-0.30,-0.33,1.03,0.08
Tax %,-50.00%,10.00%,-25.81%,-58.82%,-0.00%,-33.09%,-26.67%,-42.42%,9.71%,-12.50%
Net Profit,-0.09,-0.11,-0.23,-0.07,-0.16,-0.94,-0.22,-0.18,0.92,0.10
  └─ Minority share,0,0,-0,-0,-0,0,-0,-0,-0,0
  └─ Profit excl Excep,-0,-0,-0,-0,-0,-1,-0,-0,1,0
  └─ Profit for PE,-0,-0,-0,-0,-0,-1,-0,-0,1,0
  └─ Profit for EPS,-0,-0,-0,-0,-0,-1,-0,-0,1,0
  └─ YOY Profit Growth %,,,,,-100%,-709%,8%,-67%,606%,111%
EPS in Rs,,,,,-0.01,-0.05,-0.01,-0.01,0.05,0.01
Raw PDF,,,,,,,,,,
