Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,915,878,848,940,1096,1010,1001,1182,1283,1224,1266,1350,1522
  └─ YOY Sales Growth %,,5.58%,28.14%,17.85%,19.78%,14.99%,18.04%,25.71%,17.04%,21.20%,26.39%,14.20%,18.64%
Expenses,444,427,396,460,515,495,481,596,642,643,656,706,753
  └─ Employee Cost %,10.02%,8.27%,8.34%,7.39%,6.55%,5.57%,6.03%,5.33%,4.75%,4.33%,4.64%,4.17%,4.65%
Operating Profit,472,451,452,480,581,515,521,586,641,581,610,644,769
OPM %,52%,51%,53%,51%,53%,51%,52%,50%,50%,47%,48%,48%,51%
Other Income,58,40,47,78,104,94,87,83,89,90,107,52,17
  └─ Exceptional items,0,0,0,0,0,0,0,0,0,0,0,-7,-72
  └─ Other income normal,58,40,47,78,104,94,87,83,89,90,107,60,90
Interest,136,-16,71,143,134,82,-80,256,8,55,105,93,130
Depreciation,98,95,101,108,134,135,134,138,140,143,149,164,158
Profit before tax,295,412,328,307,417,392,554,276,581,473,463,439,498
Tax %,-2%,22%,22%,17%,21%,24%,33%,-22%,11%,18%,20%,17%,15%
Net Profit,302,322,256,254,329,297,374,336,516,390,369,365,424
  └─ Minority share,-2,-1,-1,-3,1,-4,-2,-6,-6,-5,-8,-6,-5
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,-6,-60
  └─ Profit excl Excep,302,322,256,254,329,297,374,336,516,390,369,371,484
  └─ Profit for PE,300,321,254,251,330,292,372,330,509,385,361,365,478
  └─ Profit for EPS,300,321,254,251,330,292,372,330,509,385,361,359,418
  └─ YOY Profit Growth %,,127%,89%,118%,10%,-9%,46%,32%,54%,32%,-3%,11%,-6%
EPS in Rs,1.61,1.72,1.21,1.19,1.57,1.39,1.77,1.57,2.43,1.83,1.72,1.71,1.99
Raw PDF,,,,,,,,,,,,,
