Metric,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023
Sales,67.10,37.05,72.54,72.91,74.82,69.16,75.53,66.52,69.67
  └─ YOY Sales Growth %,,,,,11.51%,86.67%,4.12%,-8.76%,-6.88%
Expenses,63.79,35.19,68.88,69.48,69.21,67.45,71.32,64.53,63.06
  └─ Material Cost %,64%,48%,66%,63%,57%,66%,64%,66%,66%
  └─ Employee Cost %,12%,20%,12%,13%,12%,13%,13%,14%,3%
Operating Profit,3.31,1.86,3.66,3.43,5.61,1.71,4.21,1.99,6.61
OPM %,4.93%,5.02%,5.05%,4.70%,7.50%,2.47%,5.57%,2.99%,9.49%
Other Income,3.18,0.04,0.04,0.02,0.08,0.54,0.15,0.56,0.74
  └─ Other income normal,3.18,0.04,0.04,0.02,0.08,0.54,0.15,0.56,0.74
Interest,2.44,1.46,2.21,2.08,2.18,1.85,2.31,2.40,2.27
Depreciation,1.60,1.54,1.40,1.26,1.66,1.41,1.46,1.35,1.22
Profit before tax,2.45,-1.10,0.09,0.11,1.85,-1.01,0.59,-1.20,3.86
Tax %,23.67%,-20.91%,-33.33%,-36.36%,32.43%,-27.72%,22.03%,-20.00%,29.53%
Net Profit,1.88,-0.87,0.12,0.16,0.92,-0.79,0.46,-0.96,2.71
  └─ Profit from Associates,0,0,0,0,-0,-0,0,0,0
  └─ Profit excl Excep,2,-1,0,0,1,-1,0,-1,3
  └─ Profit for PE,2,-1,0,0,1,-1,0,-1,3
  └─ Profit for EPS,2,-1,0,0,1,-1,0,-1,3
  └─ YOY Profit Growth %,,,,,-51%,9%,283%,-700%,195%
EPS in Rs,3.20,-1.48,0.20,0.27,1.57,-1.35,0.78,-1.64,4.62
Raw PDF,,,,,,,,,
