Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,826,808,1048,1059,1357,1405,1515,1262,1056,1141,1202,1335,1459
  └─ YOY Sales Growth %,21.29%,18.40%,40.60%,41.47%,64.37%,74.05%,44.55%,19.18%,-22.20%,-18.85%,-20.66%,5.76%,38.20%
Expenses,440,487,605,661,827,935,843,766,713,866,786,806,861
  └─ Employee Cost %,9.14%,15.26%,12.69%,13.37%,11.70%,14.30%,15.20%,18.80%,17.68%,24.02%,22.84%,20.55%,16.74%
Operating Profit,386,320,443,398,530,470,672,496,343,275,415,529,599
OPM %,47%,40%,42%,38%,39%,33%,44%,39%,32%,24%,35%,40%,41%
Other Income,5,4,1,2,1,5,1,2,2,3,2,3,8
  └─ Exceptional items,-0.06,-0.02,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,5.35,3.57,1.45,1.80,1.26,4.61,1.26,1.59,1.83,2.56,2.44,2.80,7.82
Interest,21,18,26,36,56,56,75,84,80,83,93,127,134
Depreciation,9,9,11,13,17,23,26,27,29,30,31,32,33
Profit before tax,362,297,407,351,459,397,572,387,236,164,294,373,440
Tax %,26%,26%,25%,26%,26%,26%,26%,27%,26%,30%,28%,28%,27%
Net Profit,267,221,304,260,340,293,423,281,175,114,212,269,320
  └─ Exceptional items AT,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,267,221,304,260,340,293,423,281,175,114,212,269,320
  └─ Profit for PE,267,221,304,260,340,293,423,281,175,114,212,269,320
  └─ Profit for EPS,267,221,304,260,340,293,423,281,175,114,212,269,320
  └─ YOY Profit Growth %,30%,22%,43%,14%,27%,33%,39%,8%,-49%,-61%,-50%,-5%,84%
EPS in Rs,3.20,2.63,3.63,3.10,4.05,3.25,4.70,3.12,1.93,1.26,2.33,2.96,3.52
Raw PDF,,,,,,,,,,,,,
