Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,250,278,260,250,265,305,301,304,320,369
  └─ YOY Sales Growth %,,,,,6.03%,9.62%,15.74%,21.43%,20.63%,20.93%
Expenses,121,105,133,103,113,109,127,128,128,133
  └─ Material Cost %,0.21%,0.36%,0.24%,0.40%,0.44%,0.15%,-0.36%,0.65%,-0.99%,0.91%
  └─ Employee Cost %,26.27%,21.02%,29.35%,25.53%,25.09%,20.95%,23.73%,23.43%,22.85%,20.01%
Operating Profit,128,173,127,147,152,196,174,176,191,236
OPM %,51%,62%,49%,59%,57%,64%,58%,58%,60%,64%
Other Income,9,12,3,9,12,8,14,12,11,18
  └─ Other income normal,9.14,12.39,2.51,8.56,11.87,8.43,13.70,12.47,11.38,18.24
Interest,4,3,2,2,1,3,2,2,2,3
Depreciation,13,12,13,6,10,10,10,11,12,13
Profit before tax,121,171,114,147,153,191,175,175,188,239
Tax %,35%,26%,32%,26%,26%,26%,28%,26%,29%,25%
Net Profit,78,126,78,110,114,141,127,130,135,180
  └─ Profit excl Excep,78,126,78,110,114,141,127,130,135,180
  └─ Profit for PE,78,126,78,110,114,141,127,130,135,180
  └─ Profit for EPS,78,126,78,110,114,141,127,130,135,180
  └─ YOY Profit Growth %,,,,,45%,12%,63%,18%,18%,28%
EPS in Rs,,,1.96,2.76,2.63,3.26,2.93,3.00,3.11,4.16
Raw PDF,,,,,,,,,,
