Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,338,311,315,374,418,361,377,458,522,895,735,582,558
  └─ YOY Sales Growth %,128.28%,22.83%,26.92%,28.96%,23.79%,16.17%,19.87%,22.51%,24.80%,147.79%,95.02%,27.06%,6.94%
Expenses,186,201,189,208,235,221,228,253,281,537,436,317,292
  └─ Material Cost %,8.21%,8.60%,8.25%,8.15%,7.40%,7.96%,7.72%,7.27%,6.55%,33.05%,26.47%,7.66%,5.68%
  └─ Employee Cost %,12.21%,15.02%,15.10%,13.06%,12.33%,15.18%,14.38%,12.62%,12.96%,7.76%,9.47%,12.53%,13.59%
Operating Profit,152,110,126,166,183,140,150,205,241,357,299,265,266
OPM %,45%,35%,40%,44%,44%,39%,40%,45%,46%,40%,41%,46%,48%
Other Income,-11,4,4,6,6,8,6,7,15,14,9,7,13
  └─ Exceptional items,-18.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.02,0.00
  └─ Other income normal,7.91,3.81,3.61,6.22,6.14,8.10,6.13,6.66,15.40,13.79,8.51,7.54,12.84
Interest,41,45,50,48,53,32,34,45,48,49,45,46,41
Depreciation,30,31,35,35,37,39,42,48,50,54,57,58,60
Profit before tax,71,37,44,89,99,78,79,118,159,269,205,167,178
Tax %,49%,-138%,18%,20%,17%,22%,274%,18%,22%,24%,24%,26%,8%
Net Profit,37,89,36,71,82,61,-139,97,124,203,155,124,163
  └─ Minority share,0,0,0,-0,0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,-9,0,0,0,0,0,0,0,0,0,0,-1,0
  └─ Profit excl Excep,46,89,36,71,82,61,-139,97,124,203,155,125,163
  └─ Profit for PE,46,89,36,71,82,61,-138,97,124,203,155,125,163
  └─ Profit for EPS,37,89,36,71,82,61,-138,97,124,203,155,124,163
  └─ YOY Profit Growth %,537%,203%,146%,21%,79%,-32%,-480%,37%,50%,235%,212%,29%,32%
EPS in Rs,1.79,4.32,1.77,3.44,4.01,2.78,-6.35,4.42,5.67,9.30,7.08,5.67,7.44
Raw PDF,,,,,,,,,,,,,
