Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,409,415,397,439,415,495,427,428
  └─ YOY Sales Growth %,,,,,1.32%,19.18%,7.39%,-2.59%
Expenses,380,384,364,391,372,456,392,397
  └─ Material Cost %,62%,63%,61%,58%,58%,65%,59%,63%
  └─ Employee Cost %,5%,5%,6%,6%,6%,5%,6%,6%
Operating Profit,29,31,33,49,42,39,35,31
OPM %,7%,8%,8%,11%,10%,8%,8%,7%
Other Income,7,6,8,9,6,9,7,7
  └─ Other income normal,7.24,5.62,8.25,8.71,5.67,9.29,6.97,7.18
Interest,4,5,5,5,5,5,5,3
Depreciation,7,7,7,9,8,8,8,8
Profit before tax,25,25,29,44,35,35,28,27
Tax %,26%,26%,25%,25%,26%,26%,25%,27%
Net Profit,19,18,22,33,26,26,21,20
  └─ Profit excl Excep,18.57,18.46,21.81,32.79,26.08,25.82,21.46,19.73
  └─ Profit for PE,18.57,18.46,21.81,32.79,26.08,25.82,21.46,19.73
  └─ Profit for EPS,18.57,18.46,21.81,32.79,26.08,25.82,21.46,19.73
  └─ YOY Profit Growth %,,,,,40.44%,39.87%,-1.60%,-39.83%
EPS in Rs,2.29,2.27,2.68,4.03,3.20,3.17,2.63,2.41
Raw PDF,,,,,,,,
