Metric,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023
Sales,283,411,430,307,358,418,466,377,429,454,704,468,599
  └─ YOY Sales Growth %,,51.96%,9.47%,20.55%,26.69%,1.73%,8.31%,22.86%,19.59%,8.77%,51.15%,24.08%,39.76%
Expenses,211,286,357,247,249,347,369,310,328,380,605,393,484
  └─ Employee Cost %,11.91%,6.85%,7.37%,12.63%,9.59%,12.04%,13.40%,13.69%,10.27%,10.66%,7.28%,11.20%,8.61%
Operating Profit,72,125,73,60,110,71,96,67,100,74,98,74,115
OPM %,26%,30%,17%,19%,31%,17%,21%,18%,23%,16%,14%,16%,19%
Other Income,9,7,10,9,23,56,22,8,11,8,48,15,14
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,14.07,0.00,0.00,0.00,36.54,0.00,0.00
  └─ Other income normal,9.48,7.19,9.90,8.53,22.60,56.46,7.95,8.24,11.38,7.85,11.21,15.12,13.67
Interest,1,0,2,1,1,1,2,1,1,2,2,1,1
Depreciation,41,38,40,39,40,38,43,40,37,37,41,37,38
Profit before tax,40,94,41,28,91,88,74,35,74,43,103,51,90
Tax %,27%,26%,33%,24%,26%,25%,26%,25%,25%,26%,26%,25%,25%
Net Profit,29,70,27,21,68,66,54,26,55,32,76,38,68
  └─ Exceptional items AT,0,0,0,0,0,0,10,0,0,0,27,0,0
  └─ Profit excl Excep,29,70,27,21,68,66,45,26,55,32,49,38,68
  └─ Profit for PE,29,70,27,21,68,66,45,26,55,32,49,38,68
  └─ Profit for EPS,29,70,27,21,68,66,54,26,55,32,76,38,68
  └─ YOY Profit Growth %,,61%,-47%,29%,131%,-5%,64%,22%,-18%,-52%,10%,49%,23%
EPS in Rs,0.91,2.17,0.85,0.66,2.10,2.06,1.69,0.81,1.72,1.00,2.37,1.20,2.12
Raw PDF,,,,,,,,,,,,,
