Metric,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017
Sales,84,84,82,86,88,90,90,92,99,99,108,106
  └─ YOY Sales Growth %,,,,,4.64%,9.88%,5.20%,3.83%,,9.56%,19.72%,16.24%
Expenses,57,53,51,55,54,55,56,59,64,60,67,69
  └─ Employee Cost %,6.14%,7.89%,6.88%,6.93%,8.28%,7.91%,8.77%,9.66%,7.92%,8.65%,8.08%,8.40%
Operating Profit,28,31,31,30,34,35,34,33,35,39,40,38
OPM %,33%,37%,38%,35%,39%,39%,38%,36%,35%,39%,38%,35%
Other Income,1,0,3,4,10,4,3,2,3,1,0,0
  └─ Other income normal,0.51,0.49,2.53,4.13,9.99,4.28,3.28,2.44,3.12,1.21,0.49,0.42
Interest,8,7,10,8,8,8,7,9,8,7,5,1
Depreciation,4,4,5,5,5,5,5,5,5,5,5,5
Profit before tax,17,21,18,22,32,26,26,22,26,28,30,31
Tax %,7%,40%,10%,9%,16%,10%,12%,10%,22%,21%,18%,25%
Net Profit,16,12,17,20,27,24,22,19,20,22,25,23
  └─ Profit excl Excep,15.73,12.44,16.69,19.95,26.72,23.51,22.41,19.46,20.23,21.71,24.81,23.47
  └─ Profit for PE,15.73,12.44,16.69,19.95,26.72,23.51,22.41,19.46,20.23,21.71,24.81,23.47
  └─ Profit for EPS,15.73,12.44,16.69,19.95,26.72,23.51,22.41,19.46,20.23,21.71,24.81,23.47
  └─ YOY Profit Growth %,,,,,69.87%,40.86%,12.33%,-27.17%,,-7.66%,10.71%,20.61%
EPS in Rs,8.60,1.13,1.52,1.40,1.87,1.65,1.57,1.36,1.42,1.52,1.74,1.56
Raw PDF,,,,,,,,,,,,
