Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,190.46,194.38,210.28,212.18,197.04,179.75,177.60,181.41,187.00,170.55,174.89,172.14,175.78
  └─ YOY Sales Growth %,8.44%,8.46%,18.72%,16.39%,3.45%,-7.53%,-15.54%,-14.50%,-5.10%,-5.12%,-1.53%,-5.11%,-6.00%
Expenses,207.46,197.88,175.50,221.00,234.91,180.77,176.83,158.29,178.65,174.01,180.18,171.76,185.41
  └─ Employee Cost %,71%,70%,71%,70%,75%,78%,76%,75%,65%,71%,70%,70%,67%
Operating Profit,-17.00,-3.50,34.78,-8.82,-37.87,-1.02,0.77,23.12,8.35,-3.46,-5.29,0.38,-9.63
OPM %,-8.93%,-1.80%,16.54%,-4.16%,-19.22%,-0.57%,0.43%,12.74%,4.47%,-2.03%,-3.02%,0.22%,-5.48%
Other Income,-0.60,-2.87,-178.28,0.06,-51.06,3.64,2.20,4.08,5.83,21.53,35.82,7.59,21.97
  └─ Exceptional items,-4.17,-2.90,-179.66,-2.23,-51.84,0.00,0.00,0.00,0.00,0.00,0.00,-3.41,0.00
  └─ Other income normal,3.57,0.03,1.38,2.29,0.78,3.64,2.20,4.08,5.83,21.53,35.82,11.00,21.97
Interest,2.56,2.36,2.65,2.72,2.36,2.08,2.36,1.61,1.54,1.35,0.52,0.82,1.34
Depreciation,5.40,5.36,7.12,7.01,7.67,6.90,7.45,7.08,6.35,4.62,4.97,5.32,4.83
Profit before tax,-25.56,-14.09,-153.27,-18.49,-98.96,-6.36,-6.84,18.51,6.29,12.10,25.04,1.83,6.17
Tax %,6.69%,10.65%,0.58%,59.28%,0.98%,38.68%,46.20%,6.75%,-327.66%,37.60%,27.32%,-14.21%,-17.83%
Net Profit,-27.27,-15.59,-154.16,-29.45,-99.93,-8.82,-10.00,17.26,26.90,7.55,18.20,2.09,7.27
  └─ Minority share,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,-4,-3,-179,-1,-51,0,0,0,0,0,0,-3,0
  └─ Profit excl Excep,-23,-13,25,-29,-49,-9,-10,17,27,8,18,6,7
  └─ Profit for PE,-23,-13,25,-29,-49,-9,-10,17,27,8,18,6,7
  └─ Profit for EPS,-27,-16,-154,-29,-100,-9,-10,17,27,8,18,2,7
  └─ YOY Profit Growth %,-1570%,-560%,-1%,-557%,-108%,32%,-141%,160%,155%,186%,284%,-68%,-73%
EPS in Rs,-1.32,-0.76,-7.48,-1.43,-4.83,-0.43,-0.48,0.83,1.30,0.37,0.89,0.10,0.35
Raw PDF,,,,,,,,,,,,,
