Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,154,149,162,199,164,188,239,243
  └─ YOY Sales Growth %,,,,,6.48%,26.22%,48.24%,22.23%
Expenses,41,39,43,55,44,50,61,64
  └─ Employee Cost %,8.00%,6.64%,6.90%,5.22%,7.34%,7.22%,5.41%,5.46%
Operating Profit,114,109,119,144,120,137,179,179
OPM %,74%,74%,73%,72%,73%,73%,75%,74%
Other Income,2,2,8,16,9,1,4,4
  └─ Other income normal,2.34,1.68,7.94,16.04,9.33,1.45,4.25,4.35
Interest,48,47,50,48,30,18,20,41
Depreciation,31,32,32,37,36,50,56,55
Profit before tax,37,32,45,75,63,71,107,87
Tax %,29%,31%,16%,15%,24%,24%,17%,15%
Net Profit,26,22,38,64,48,54,89,74
  └─ Minority share,0,0,0,-6,0,0,-7,-5
  └─ Profit excl Excep,26,22,38,64,48,54,89,74
  └─ Profit for PE,26,22,38,58,48,54,82,69
  └─ Profit for EPS,26,22,38,58,48,54,82,69
  └─ YOY Profit Growth %,,,,,85%,142%,117%,18%
EPS in Rs,234.36,0.23,0.38,0.59,0.43,0.49,0.74,0.62
Raw PDF,,,,,,,,
