Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,541,575,643,671,695,775,887,935,901,968,1027,1075,1052
  └─ YOY Sales Growth %,,,18.06%,19.97%,28.56%,34.93%,37.96%,39.22%,29.61%,24.88%,15.80%,15.03%,16.66%
Expenses,130,146,162,162,157,181,184,171,171,195,227,199,206
  └─ Employee Cost %,13.28%,14.58%,14.46%,13.49%,12.47%,13.05%,10.81%,10.20%,10.75%,11.28%,12.05%,11.50%,11.93%
Operating Profit,410,428,481,509,539,594,703,764,730,773,801,876,845
OPM %,76%,75%,75%,76%,77%,77%,79%,82%,81%,80%,78%,82%,80%
Other Income,97,158,122,143,156,173,171,93,124,233,96,159,12
  └─ Other income normal,96.88,158.08,122.27,142.86,155.79,173.47,170.98,93.09,124.12,233.01,96.19,159.29,11.55
Interest,2,2,2,2,2,2,2,2,3,3,3,3,4
Depreciation,13,13,13,13,13,13,14,15,17,17,18,18,19
Profit before tax,492,571,588,637,679,752,858,840,835,986,876,1014,834
Tax %,24%,16%,26%,23%,20%,20%,33%,24%,24%,24%,18%,24%,25%
Net Profit,376,477,437,488,541,604,577,641,638,748,718,769,623
  └─ Profit excl Excep,376,477,437,488,541,604,577,641,638,748,718,769,623
  └─ Profit for PE,376,477,437,488,541,604,577,641,638,748,718,769,623
  └─ Profit for EPS,376,477,437,488,541,604,577,641,638,748,718,769,623
  └─ YOY Profit Growth %,,,20%,32%,44%,26%,32%,31%,18%,24%,25%,20%,-2%
EPS in Rs,8.81,11.18,10.22,11.43,12.67,14.13,13.50,15.00,14.93,17.47,16.79,17.96,14.53
Raw PDF,,,,,,,,,,,,,
