Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,143,175,183,182,184,238,242,237,222,274,297,290,288
  └─ YOY Sales Growth %,27.06%,32.99%,34.19%,32.20%,28.90%,35.75%,32.81%,29.93%,20.45%,15.32%,22.64%,22.18%,29.67%
Expenses,82,102,105,103,111,139,138,130,131,146,160,158,203
  └─ Employee Cost %,44%,45%,44%,43%,46%,46%,45%,42%,46%,42%,42%,42%,59%
Operating Profit,61,73,77,80,73,98,104,107,91,128,137,131,85
OPM %,43%,42%,42%,44%,40%,41%,43%,45%,41%,47%,46%,45%,29%
Other Income,4,3,6,5,13,8,7,7,19,10,10,16,68
  └─ Exceptional items,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Other income normal,4,3,6,5,13,8,7,7,19,10,10,16,68
Interest,1,1,2,2,2,1,3,4,4,4,5,4,3
Depreciation,4,5,5,5,5,6,6,7,7,8,8,9,10
Profit before tax,60,71,78,78,79,99,102,104,99,126,134,135,140
Tax %,28%,25%,26%,26%,28%,26%,25%,26%,26%,26%,26%,26%,26%
Net Profit,43,53,58,58,57,73,76,77,74,94,100,100,103
  └─ Minority share,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-1,-0,-0
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,43,53,58,58,57,73,76,77,74,94,100,100,103
  └─ Profit for PE,43,53,57,58,57,73,76,77,73,94,99,100,103
  └─ Profit for EPS,43,53,57,58,57,73,76,77,73,94,99,100,103
  └─ YOY Profit Growth %,24%,34%,34%,34%,33%,38%,32%,33%,30%,28%,30%,30%,41%
EPS in Rs,2.55,3.18,3.44,3.46,3.38,4.42,4.58,4.64,4.42,5.64,5.98,6.02,6.21
Raw PDF,,,,,,,,,,,,,
