Metric,Mar 2013,Mar 2025
Sales,92.55,38.80
Expenses,82.08,38.35
  └─ Material Cost %,77%,90%
    └─ Raw material cost,80.11,34.10
    └─ Change in inventory,-8.88,0.65
  └─ Manufacturing Cost %,5%,2%
  └─ Employee Cost %,4%,2%
  └─ Other Cost %,3%,4%
Operating Profit,10.47,0.45
OPM %,11.31%,1.16%
Other Income,-0.78,1.18
  └─ Exceptional items,-1.26,0.06
  └─ Other income normal,0.48,1.12
Interest,2.98,0.17
Depreciation,3.13,1.53
Profit before tax,3.58,-0.07
Tax %,27.93%,-14.29%
Net Profit,2.58,-0.05
  └─ Exceptional items AT,-0.93,0.06
  └─ Profit excl Excep,3.51,-0.11
  └─ Profit for PE,3.51,-0.11
  └─ Profit for EPS,2.58,-0.05
EPS in Rs,0.52,-0.01
Dividend Payout %,95.35%,0.00%
