Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Sales,40.09,36.97,30.63,39.65,45.23,49.87,49.20,39.38,72.79,47.20,51.54,53.70
  └─ Sales Growth %,33.90%,-7.78%,-17.15%,29.45%,14.07%,10.26%,-1.34%,-19.96%,84.84%,-35.16%,9.19%,4.19%
Expenses,38.93,36.13,34.42,39.32,41.00,40.51,39.91,34.82,43.77,40.05,50.28,47.68
  └─ Material Cost %,3%,-5%,5%,14%,12%,5%,5%,-4%,10%,5%,17%,11%
    └─ Raw material cost,0.00,0.00,3.91,3.58,4.00,3.44,4.42,2.81,3.37,3.05,8.49,9.25
    └─ Change in inventory,1.22,-1.98,-2.26,1.89,1.58,-0.70,-1.76,-4.28,3.68,-0.76,0.50,-3.54
  └─ Manufacturing Cost %,29%,32%,23%,20%,16%,15%,16%,20%,11%,17%,17%,17%
  └─ Employee Cost %,53%,58%,68%,54%,52%,51%,51%,63%,34%,55%,55%,53%
  └─ Other Cost %,13%,14%,16%,11%,10%,10%,9%,9%,5%,7%,8%,9%
Operating Profit,1.16,0.84,-3.79,0.33,4.23,9.36,9.29,4.56,29.02,7.15,1.26,6.02
OPM %,2.89%,2.27%,-12.37%,0.83%,9.35%,18.77%,18.88%,11.58%,39.87%,15.15%,2.44%,11.21%
Other Income,2.31,3.02,2.65,1.09,0.49,0.41,0.32,0.40,0.30,1.14,0.64,6.09
  └─ Exceptional items,0.27,0.48,0.59,0.13,0.00,0.09,0.10,0.10,0.11,0.66,0.08,5.60
  └─ Other income normal,2.04,2.54,2.06,0.96,0.49,0.32,0.22,0.30,0.19,0.48,0.56,0.49
Interest,0.11,0.32,0.52,1.18,0.70,0.71,2.08,2.53,2.47,3.33,1.97,2.16
Depreciation,1.57,1.56,2.31,2.37,2.26,2.53,3.47,4.24,4.00,3.77,3.09,3.38
Profit before tax,1.79,1.98,-3.97,-2.13,1.76,6.53,4.06,-1.81,22.85,1.19,-3.16,6.57
Tax %,19.55%,25.25%,3.78%,0.47%,43.18%,3.98%,28.08%,100.00%,50.11%,57.14%,6.33%,17.81%
Net Profit,1.44,1.48,-4.11,-2.14,1.00,6.27,2.93,-3.62,11.40,0.50,-3.36,5.40
  └─ Exceptional items AT,0,0,1,0,0,0,0,0,0,0,0,5
  └─ Profit excl Excep,1,1,-5,-2,1,6,3,-4,11,0,-3,1
  └─ Profit for PE,1,1,-5,-2,1,6,3,-4,11,0,-3,1
  └─ Profit for EPS,1,1,-4,-2,1,6,3,-4,11,0,-3,5
  └─ Profit Growth %,-66%,-8%,-520%,52%,144%,518%,-53%,-227%,404%,-98%,-1378%,124%
EPS in Rs,4.65,4.78,-13.28,-6.91,3.23,20.25,9.46,-11.69,36.82,1.62,-10.85,17.44
Dividend Payout %,43.06%,31.42%,-5.66%,-10.86%,31.00%,3.71%,7.94%,-4.28%,4.08%,62.00%,-4.61%,5.74%
