Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,57,64,74,76,75,69,52,19,26,36,38,30
  └─ Sales Growth %,14.65%,12.32%,16.48%,2.40%,-1.71%,-8.38%,-24.41%,-62.44%,31.66%,41.27%,5.85%,-20.95%
Expenses,39,43,60,64,64,66,56,39,36,38,41,33
  └─ Manufacturing Cost %,32%,26%,36%,7%,6%,6%,7%,12%,8%,6%,6%,7%
  └─ Employee Cost %,24%,31%,30%,32%,30%,34%,36%,50%,35%,25%,24%,23%
  └─ Other Cost %,12%,11%,14%,45%,49%,57%,64%,139%,96%,74%,76%,78%
Operating Profit,18,21,14,12,11,3,-4,-20,-10,-2,-2,-3
OPM %,32%,32%,19%,16%,14%,4%,-8%,-101%,-39%,-5%,-6%,-8%
Other Income,0,2,-52,3,3,3,-24,2,5,5,-7,83
  └─ Exceptional items,0,0,-55,0,0,0,-29,-0,0,0,-12,79
  └─ Other income normal,0,2,3,3,3,2,5,2,5,5,4,4
Interest,5,3,7,11,10,9,11,12,16,18,21,20
Depreciation,12,14,14,12,11,11,13,10,9,9,9,6
Profit before tax,1,6,-58,-8,-8,-14,-51,-39,-31,-24,-39,54
Tax %,174%,65%,64%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit,-2,0,-85,-8,-8,-14,-51,-39,-31,-24,-39,54
  └─ Profit from Associates,-1,-2,11,0,0,0,0,0,0,0,0,0
  └─ Minority share,0,0,0,6,3,6,24,18,14,10,17,10
  └─ Exceptional items AT,0,0,-20,0,0,0,-29,-0,0,0,-12,79
  └─ Profit excl Excep,-2,0,-66,-8,-8,-15,-23,-39,-31,-24,-27,-25
  └─ Profit for PE,-2,0,-66,-3,-5,-9,-12,-21,-17,-14,-15,-15
  └─ Profit for EPS,-2,0,-85,-3,-5,-8,-27,-21,-17,-14,-22,64
  └─ Profit Growth %,66%,109%,-43800%,96%,-92%,-74%,-39%,-78%,20%,17%,-9%,2%
EPS in Rs,-0.29,0.02,-13.02,-0.39,-0.74,-1.26,-4.04,-3.21,-2.54,-2.12,-3.32,9.51
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
