Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Sales,98.59,116.45,156.98,179.10,181.57,58.58
  └─ Sales Growth %,,18%,35%,14%,1%,-68%
Expenses,96.66,114.06,153.65,175.04,176.64,55.92
  └─ Material Cost %,97%,97%,97%,97%,97%,95%
    └─ Raw material cost,94,113,153,174,176,54
    └─ Change in inventory,2,0,0,-1,-0,1
  └─ Manufacturing Cost %,0%,0%,0%,0%,0%,0%
  └─ Employee Cost %,0%,0%,0%,0%,0%,0%
  └─ Other Cost %,0%,0%,0%,1%,0%,0%
Operating Profit,1.93,2.39,3.33,4.06,4.93,2.66
OPM %,1.96%,2.05%,2.12%,2.27%,2.72%,4.54%
Other Income,0.19,0.10,0.00,0.92,1.23,0.01
  └─ Other income normal,0.19,0.10,0.00,0.92,1.23,0.01
Interest,1.76,2.16,2.98,3.19,3.98,4.77
Depreciation,0.17,0.18,0.09,0.10,0.10,0.05
Profit before tax,0.19,0.15,0.26,1.69,2.08,-2.15
Tax %,-10.53%,-20.00%,34.62%,12.43%,3.37%,0.47%
Net Profit,0.22,0.18,0.17,1.49,2.01,-2.16
  └─ Profit excl Excep,0,0,0,1,2,-2
  └─ Profit for PE,0,0,0,1,2,-2
  └─ Profit for EPS,0,0,0,1,2,-2
  └─ Profit Growth %,,-18%,-6%,776%,35%,-207%
EPS in Rs,0.07,0.06,0.05,0.47,0.64,-0.69
Dividend Payout %,0.00%,0.00%,0.00%,4.23%,7.84%,0.00%
